강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
[언제든학교]스피치 훈련 3,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]이탈리아 랜선 여행_로마,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
아무튼 인터뷰 ? 나는 내가 만난 사람의 총합이다,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[경제교육 전문가 특강] 시니어를 위한 행복한 경제교육,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[언제든학교]향수이야기 원데이 클래스 12월,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"우리가 놓친 시간, 남성은 왜 관계에서 길을 잃었는가 [안녕, 시민]",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"AI와 기후의 미래 - 디지털 과잉 함정에 빠진 한국, 더 위험해진 기후",경기도 수원시평생학습관,팔달구,전체,"AI/코딩,디지털/영상",http://learning.suwon.go.kr
안전한 거북이_올바른 공구 및 기계사용법(25년 4분기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
황정은독서토론-시민기획단 나침반이 뽑은 올해의 책,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"인공지능과 읽기 쓰기의 변화, 그리고 나의 리터러시 생태계 가꾸기",경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[독서토론] 빅터 프랭클의 죽음의 수용소에서,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"낙인과 혐오를 넘어 감염을 새롭게 보기 : HIV, 감염 그리고 질병과 함께 미래 짓기",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
무지한스승의만남 글쓰기 - 브런치 작가반,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[나누는 거북이] 작업대 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"인공지능과 노동 : AI가 대체하는, 대체 못하는 노동",경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[언제든학교]향수이야기 원데이 클래스 11월,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교_나침반 특강]읽고 쓰는 생활_마지네일리아의 거주자,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
