강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
누구나 쉽게 배우는 온비드 공매(저녁),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
인생의 가을과 겨울을 살아내기 : 노년과 죽음에 관한 고전 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
예술로 친환경하기_폐플라스틱 키링 만들기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
풍요로운 노후생활을 위한 노후재무상식,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
일상적 참사는 우리 몸과 마음에 무엇을 남기는가,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[기관협력] 마음건강클래스 - 스트레스 풀기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]삶을 조화롭게 하는 동양인문학,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
제로웨이스트 설거지바 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
코스모스 읽기-과학의 눈으로 인류 이해하기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
대한민국 재난의 탄생 과학기술학의 관점으로 진단한 기술 재난과 한국 사회의 현주소,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
여성혐오 폭력에 맞서 : 어디서든 평온한 일상을 꿈꾸다,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
나를 이해하는 시간 에니어그램(성격유형검사) 1기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
인구학 강의 : 미디어에서 소비되는 ‘출산’,경기도 수원시평생학습관,팔달구,전체,디지털/영상,http://learning.suwon.go.kr
월간 강양구 3분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[성인반 특강] AI 앱 제작과 모듈형 로봇 원격제어 교육,경기도 수원시평생학습관,팔달구,성인,AI/코딩,http://learning.suwon.go.kr
[청소년 여름방학 특강] AI 앱 제작과 모듈형 로봇 원격제어 교육,경기도 수원시평생학습관,팔달구,청소년,AI/코딩,http://learning.suwon.go.kr
[7월 25일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
채운의 개념으로 읽는 철학 3분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 7월 월담 신중년의 여가생활,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
장석준과 3분기- 불평등,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[프로젝트] 나누는 거북이_작은 대나무 통 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]짧은 소설 긴 수다 저녁,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]짧은 소설 긴 수다 시즌11,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]혈자리로 건강찾기 새나시 6기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]내 인생에게 묻는다 자문자답 글쓰기(새로운 나를 발견하는 글쓰기 2기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[8월 22일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
"함께 그려보는 교육의 미래 [안녕, 시민]",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 8월 월담 나는 이렇게 살았다.,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[언제든학교]인생에 꼭 한번은 읽어야 할 고전 도덕경 시즌2,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
무지한스승의만남 - 스페인어 시작,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
시읽기 시쓰기 모임 여백 2명 충원,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[정신건강 프로젝트] 타인과 건강하게 거리 두기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[8월 8일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[언제든학교]온라인 단편낭독 8월 윌리엄 트레버 「마지막 이야기들」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[방학특강] 꼬마 거북이_딱따구리 도어노크 만들기,경기도 수원시평생학습관,팔달구,어린이,기타,http://learning.suwon.go.kr
MZ세대 인생 첫 부동산 바로알기 교육[온라인],경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[25년 3분기007 특강]바람결~보리결~ 부채 디자인 하기(마감),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
안전한 거북이_올바른 공구사용법(25년 3분기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
수원시민 학부모 멘탈코칭 특강,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
망가진 세계에서 우리는 : SF로 살펴보는 과학-기술-사회,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
안목 있는 독자 되기 ? 어떻게 읽을 것인가,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"[언제든학교]고인돌에서 화성까지, 수원시 타임머신 여행",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
옥상영화관(튠어라운드 공연&리틀 포레스트 상영)-장소변경: 평생학습관 1관 대강당,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
현기영 작가 북토크 사전 독서모임 with 시민기획단 나침반,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"[둘둘셋프로젝트]실로 엮는 섬세한 찻잔받침 만들기, 태팅레이스",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
무지한스승의만남 - 기획단 모집 오전반,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]우리쌀로 빚는 떡 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
강유원의 3분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[마감되었습니다] 오래쓰기 프로젝트_나무 도마,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[우리들교실] 여행&인물스케치,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
마감 007특강 추석맞이 국화주 빚기(25년 4분기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교_나침반 특강]노벨문학상 수상작 읽기_토니 모리슨,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]온라인 단편낭독 10월_정보라 「너의 유토피아」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"여성혐오 폭력과 발전주의 국가, 젠더, SNS",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]쉽고 재미있는 시니어 건강체조&레크리에이션 4,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
이현호 시인의 쓰고 읽고 만나고 사는 말들에 관하여,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[25년 3분기007 특강]케이팝 데몬 헌터즈 호랑이 그리기(마감아님 접수중 ~9/8),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
함께읽기 독서모임 기획단 과정,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
무지한스승의만남 - 일본어 시작,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
2025년 청년의 날 원데이 클래스_반려식물과 함께하는 행복 원예테라피,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[9월 19일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
"‘제로’일수록 좋은 것 [안녕, 시민]",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
소설 현기영 작가 북토크,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 9월 월담 한국의 철새,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[수원시평생학습축제]혈자리와 마사지볼로 건강찾기(언제든학교기획단 릴레이 강좌_오후2)) :,경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
[수원시평생학습축제]식물과 정원과 삶(언제든학교기획단 릴레이 강좌_오후1),경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
[수원시평생학습축제]친환경을 실천하는 냄비받침+ 홍차와 밀크티+ 내 인생의 답을 찾는 동양인문학(언제든학교기획단 릴레이 강좌_오전),경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
AI 기본개념과 프롬프트 엔지니어링 사용 기초,경기도 수원시평생학습관,팔달구,성인,AI/코딩,http://learning.suwon.go.kr
[평생학습축제강좌]신통방통 테이핑(치매예방편),경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[평생학습축제강좌]신통방통 테이핑(미용_주름과 다이어트편),경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[평생학습축제강좌]신통방통 테이핑(응급처치편),경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
나를 이해하는 시간 에니어그램(성격유형검사) 2기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[수원시평생학습축제]나무트레이 만들기_3차시,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
손희정의 영화 비평,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"음악미학과 오디오 소리의 본질, 그리고 클래식 감상",경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
자율주행 LiDAR 인지 솔루션과 센서 융합 기술의 이해,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
모두의 AI(인공지능) 피지컬 컴퓨팅,경기도 수원시평생학습관,팔달구,성인,AI/코딩,http://learning.suwon.go.kr
[우리들교실] 시니어 컴퓨터 교실,경기도 수원시평생학습관,팔달구,시니어,디지털/영상,http://learning.suwon.go.kr
[우리들교실] 창의 전래놀이,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
우리 안의 인종주의,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
암흑을 직시하는 동시대인 : 나의 이름은?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
에코키친,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
음악과 인문학을 통한 힐링 여행,경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
쿠팡에서 사람이 죽었다 - 퇴행적 혁신과 새벽소비사회,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[수원시평생학습축제]놀이로 만나는 우리문화,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[수원시평생학습축제]아빠하고 나하고 미니화단 꾸미기,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[수원시평생학습축제] 행복과 성공의 비밀 만트라 만들기 체험,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
초연결 시대+ 인간 상호작용의 위기를 읽는다,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
지구로운 출발 - 현실적인 제로웨이스트 방법과 환경워크숍,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
인공지능은 나의 읽기-쓰기를 어떻게 바꿀까,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[11월 6일- 오후반] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
공공역사란 무엇인가 - 공공역사의 이해,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
누군가 곁에 있다고(본강연),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
수원시민과 학생을 위한 지역과 학교 벽 깨기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[초등학생] 로봇과 AI를 활용한 S/W 제작 및 원격 조종 실습 과정,경기도 수원시평생학습관,팔달구,청소년,AI/코딩,http://learning.suwon.go.kr
[성인반] 로봇과 AI를 활용한 원격 로봇 코딩 입문 교육,경기도 수원시평생학습관,팔달구,성인,AI/코딩,http://learning.suwon.go.kr
SF의 세계,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]나 자신을 마주하는 안식년,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]미술과 친해지기: 미술사를 움직인 컬렉터와 그들의 화가들,경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
민주주의와 헌법,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]봄 바람과 함께 마음챙김_원예테라피 시즌4,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
쉼표가 필요한 당신에게... 스트레스 번아웃,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]유투공 : 스피치 훈련 2_말하기 자신감,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]북토크 : 경제도서 같이 읽기_환율 전쟁,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
장석준과 2분기 세계읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
도전 신중년을 위한 취업 지원 코칭,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
월간 강양구 2분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"[나라를 위해서 일한다는 거짓말]북토크 사적 열정과 공적 냉소, 보고서와 경로의존성에 빠진 국가",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
채운의 개념으로 읽는 철학 2분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
로봇을 위한 인공지능 입문 교육 [성균관대학교],경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
삼성은 왜 위기를 맞이했고 현대는 어떻게 기회를 열었는가?,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"참여형민주시민교육 [안녕, 시민] 분단을 넘어 함께 평화",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]짧은 소설 긴 수다 시즌10,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
4월 월담 - 인생은 Do Dream이다 [뭐라도학교],경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
흠결 없는 파편들의 사회 : 한국 2060 여성들의 일 경험과 모험,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]인생에 한번은 꼭 읽어야 할 고전_도덕경 시리즈1,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 5월 : 문지혁 「고잉 홈」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
유능한 무능력자들:우리나라 엘리트는 왜 저럴까? (시스템 해킹을 넘어서),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]다큐멘터리 상영회 & 감독 GV,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
아픈 몸을 기록하다_아프다는 것에 관하여,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
겉도는 읽기 헛도는 쓰기를 읽다 : 삶의 통제력을 위한 독서,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[007특강]마음을 울리는 꽃술잔(마감아님 접수중 ~5/16까지),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"참여형민주시민교육 [안녕, 시민] 민주주의를 향한 역사 바로알기",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
5월 월담- 노르딕워킹 건강법 [뭐라도학교],경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
"아픈 몸을 기록하다_몸, 살아내고 말하고 저항하는 몸들의 인류학",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
아픈 몸을 기록하다_가장 평범한 아픔,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]교육연극으로 풀어보는 나이[듦과 삶]의 완성 시즌3,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]혈자리로 건강찾기 시즌4(기초반),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
아픈 몸을 기록하다_난치의 상상력,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
아픈 몸을 기록하다_사랑에 따라온 의혹들,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[조영호교수 특강] AI와 함께하는 시니어 행복멘탈코칭,경기도 수원시평생학습관,팔달구,시니어,AI/코딩,http://learning.suwon.go.kr
지속적 위기 시대의 지방자치의 가능성,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]새로운 나를 발견하는 글쓰기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
돌봄 참여 조부모를 위한 육아법과 소통지혜,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"정조와 수원화성, 도전의 리더십",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[오후반] 서종남교수의 문학아카데미 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[오전반] 서종남교수의 문학아카데미 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]원예테라피 시즌5 우리 꽃길만 걸어요,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[25년 2분기 문화초대석]클래식기타(강좌 종강일 초대),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[25년 2분기 문화초대석]바른자세 아름다운 워킹(강좌 종강일초대),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
클래식기타 연주회(경기기타오케스트라),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[007특강]함께라서 빛나는 오늘의 가죽공예(마감),경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
안전한 거북이_올바른 공구사용법(25년 2분기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
6월 월담- 시민기자가 바라본 유네스코 세계문화유산 수원화성 [뭐라도학교],경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
시 읽기 시 쓰기 모임,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"시니어 정보문해 교육 (스마트폰, AI, 피싱예방)",경기도 수원시평생학습관,팔달구,시니어,"AI/코딩,디지털/영상",http://learning.suwon.go.kr
"극우파시즘을 넘어, 세계시민을 꿈꾸기 [안녕, 시민]",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 6월 : 서유미 「밤이 영원할 것처럼」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"[언제든학교]힐링스피치, 여름",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"북토크-보이지 않는 노동자들 : 경계 없는 노동, 흔들리는 삶",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[프로젝트] 나누는 거북이_테이블 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 쉘위훌라 건강댄스,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
MZ세대 인생 첫 부동산 바로알기 교육[대면],경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]미술과 친해지기-현대건축 말을 걸다,경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
[우리들교실] 시니어 여행 & 인물 스케치 교실,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[언제든학교]존경받는 시장(시부모-장인장모)되기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[특별기획 프로그램] 시민 교양2 일과 노동,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]온라인 단편낭독 7월 앤드루 포터 「사라진 것들」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[성균관대학교] 소프트 로보틱스 기초 이론 교육 및 실습,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]쉽고 재미있는 시니어 건강체조&레크리에이션 3,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[언제든학교]명화감상의 즐거운 시즌4,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[7월 11일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
"차별과 혐오 넘어 돌봄 세상 그리기 [안녕, 시민]",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]유투공으로 시작하는 경제공부3,경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
어깨동무 장애 청년 경제 교실,경기도 수원시평생학습관,팔달구,기타,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 아랑고고장구&민요,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 창의 전래놀이,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 컴퓨터 교실,경기도 수원시평생학습관,팔달구,시니어,디지털/영상,http://learning.suwon.go.kr
[언제든학교]나를 만나고 쓰는 시간 AI와 함께 만드는 사계절 자서전,경기도 수원시평생학습관,팔달구,성인,AI/코딩,http://learning.suwon.go.kr
[특별기획 프로그램] 시민 교양1 공공성,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[프로젝트] 우리의 공방,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[11월 13일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[언제든학교]단편낭독 11월: 가즈오 이시구로,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
절망하는 이들을 위한 민주주의,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
나를 이해하는 시간 에니어그램(성격유형검사) 3기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
글쓰기와 역사 : 글은 어디서+ 어떻게 태어나는가,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
그들은 왜 식민사관을 미화하는가,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
신한카드와 함께하는 시니어 안심 디지털 금융 한걸음(중급)(25년3분기),경기도 수원시평생학습관,팔달구,시니어,디지털/영상,http://learning.suwon.go.kr
예술로 친환경하기_폐플라스틱 캔버스 아크릴화,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
무지한스승의만남 ? 글쓰기 첫걸음 : 쓰기로 새로운 시작,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
인공지능과 함께 살아가기,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[언제든학교]그림책으로 성찰하는 일과 삶 Ⅱ,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[오후반] 서종남교수의 문학아카데미 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[오전반] 서종남교수의 문학아카데미 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
무지한스승의만남 ? 시,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"로봇 기술 진화의 발자취 : 로봇기술의 발전과 활용, AI 동반 성장의 이야기",경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
"[언제든학교]바흐, 헨델, 베토벤, 하이든의 음악 세계를 탐험하다",경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
[우리들교실] 쉘위훌라 건강댄스,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
무지한스승의만남 ? 그리스 로마 신화와 나,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"죽은 다음 : 어떻게 떠나고 기억될 것인가? 죽음과 노동, 장례 노동",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
장석준과 세계읽기 신자유주의는 어떻게 지배하는가,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
국민연금공단과 함께하는 중장년을 위한 평생연금과 건강한 자산관리 전략(25년 4분기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]혈자리로 건강찾기(새롭게 나를 만나는 시간 7기),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
무지한스승의만남 - 중국어 시작,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
무지한스승의만남 - 대금 맛보기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
무지한스승의만남 - 내맘대로 노트 다이어리,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]짧은 소설 긴 수다(오전반_시즌12),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[우리들교실] 고고아리랑트롯장구,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 컴퓨터 교실 Ⅰ,경기도 수원시평생학습관,팔달구,시니어,디지털/영상,http://learning.suwon.go.kr
"무지한스승의만남 ? 과학과 친해지기: AI, 로봇, 인간, 미래",경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[언제든학교]가족(자녀)공감 비폭력대화,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]놀러와요 북토크의 숲으로: 아내+ 며느리+ 엄마가 아닌 나,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]쉽게 배우는 고사성어,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]여행의 정수: 홍콩영화 OST,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]왜-왜분석을 활용한 문제해결기법,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
