강좌명,강좌내용,운영기관명,교육장도로명주소,홈페이지주소,수강료,시군명,구
[시니어] 스마트폰과 함께하는 디지털 생활,시니어들의 스마트폰을 보다 효과적이고 능숙하게 활용할 수 있도록 돕는 프로그램,경기도교육청화성도서관,경기도 화성시 향남읍 발안로 85-10,https://lib.goe.go.kr/hs,0,화성시,화성시
이야기 담은 코딩,기타,경기도 광명시 새싹 작은도서관,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088482,0,광명시,광명시
낭랑 ON AIR,기타,경기도 광명시 새싹 작은도서관,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088462,0,광명시,광명시
[광명지식상점] 아빠와 함께하는 드론 축구볼 챌린지,기타 생활스포츠 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088201,10000,광명시,광명시
스마트한 디지털 교실 역량 강화 교육,정보기술,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088180,0,광명시,광명시
AI 크리에이터 양성과정(1기),직업능력교육 > 직무역량프로그램 > 문화/예술,장애인 평생학습도시,경기도 의정부시 의정로 165 의정부시평생학습원 2층,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[5060] AI 프롬프트 엔지니어,직업능력교육 > 자격인증프로그램 > 자격(증)(국가자격) 인증 프로그램,평생직업교육,경기도 의정부시 의정로 165,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[5060] AI 디지털 자서전 지도사(추가모집),직업능력교육 > 자격인증프로그램 > 자격(증)(등록민간) 인증 프로그램,평생직업교육,경기도 의정부시 의정로 165,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[중장년] AI 활용 기초 -나만의 콘텐츠 만들기 - 금요일 오전반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[중장년] 스마트 폰을 여는 교통, 행정, 건강관리, 개인정보 보호 활용하기- 금요일 오후반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[중장년] 쉽게 배우는 챗GPT 대화 기술- 금요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[심화/특화] 실생활 정보 관리 비법- 목요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[심화/특화] 사진도 설정도 깔끔하게 - 수요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[초급/특화] 온라인계정 관리 이해와 디지털 격차 해소의 필요성 알기 - 수요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[심화/특화] 컴퓨터, 두려움에서 능력으로 - 화요일 오후반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[심화] 스마트폰 심화 - 월요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[초급] 스마트폰 생활 활용 - 월요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제 2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[입문] 스마트폰의 이해- 월,수 오전반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[초급] 컴퓨터 생활 활용- 화,목 오후반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[입문]컴퓨터의 이해 화,목 오전반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[부지런] AI 활용 숏츠 영상제작,직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,평생직업교육,경기도 의정부시 의정로 165,www.ull.or.kr/lifeedu/index.do,30000,의정부시,의정부시
"[심화/특화] 똑똑한 시니어의  슬기로운 인터넷 생활(장보기, 민원 처리하기) - 화요일 오후반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[중장년 보충] AI 활용 보충 - 금 오전9시,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[보충] 컴퓨터 조작법 - 화,목 오전9시",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[보충] 스마트폰 조작법 - 월,수 오전9시",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[입문] 터치로 시작하는 스마트폰 길잡이 첫걸음 - 수요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제 2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[초급] 스마트폰 생활 활용 - 월요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제 2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[초급] 컴퓨터 생활 활용 (화,목 오후반)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[입문] 컴퓨터의 이해- 화,목오전반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[입문] 스마트폰의 이해- 월,수 오전반",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[부지런] AI 솔루션 창업과정,직업능력교육 > 취창업준비 프로그램 > 기타 창업 준비 프로그램,평생직업교육,경기도 의정부시 산단로76번길 89 의정부시 중소기업 지원센터1층 교육장,www.ull.or.kr/lifeedu/index.do,15000,의정부시,의정부시
[중장년 보충] AI 활용 보충 - 금요일 오전9시,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[보충] 컴퓨터 조작법 - 화,목 보충",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"[보충] 스마트폰 조작법 - 월,수 보충",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
스마트폰과모바일활용 / 강좌번호 7,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,신곡2동주민자치센터,경기도 의정부시 추동로23번길 7 문예창작실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
[심화] 스마트폰 심화 - 월요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[중장년 특화] 일상 속  생성형 AI 여정 (AI로 검색하기) - 금요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[중장년 특화] 말만 하면 척척  AI는 멋진 비서 (챗GPT) - 금요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[중장년 입문]  AI 활용 기초 나만의 콘텐츠 만들기 - 금요일 오전반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
[심화/특화] 우리의 이야기를 디자인으로 표현하기(미리캔버스)- 목요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 기초 교육 화,목 오후반(방문신청만 가능)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 기초교육  화,목 오전반(방문신청만 가능)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 왕기초교육   월,수 오후반(방문신청만 가능)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 왕기초 교육   월,수 오전반(방문신청만 가능)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2 강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
어린이코딩,기타 시민성소양 관련 프로그램,경기도 광명시 하안2동주민자치회,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087975,45000,광명시,광명시
[부지런]AI 활용 능력 과정,직업능력교육 > 직무역량프로그램 > 평생교육,평생직업교육,경기도 의정부시 의정로 165 2층,www.ull.or.kr/lifeedu/index.do,15000,의정부시,의정부시
AI도구와 함께하는 왕초보 일본어(강좌번호 12),인문교양교육 > 생활소양프로그램 > 생활일본어,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
코딩교실(강좌번호 18),인문교양교육 > 생활소양프로그램 > 컴퓨터 관련 프로그램,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
컴퓨터 왕초보(기초) / 강좌번호 1,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,신곡2동주민자치센터,경기도 의정부시 추동로23번길 7 사이버룸,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
문서작성과 인터넷(초급) / 강좌번호 2,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,신곡2동주민자치센터,경기도 의정부시 추동로23번길 7 사이버룸,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
[하이런] 나도 영화감독 (AI로 단편 영화 제작하고 공모전 출품하기),직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,평생직업교육,경기도 의정부시 의정로 165 2층,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
[하이런] 나도 디자이너 (포토샵 AI 기능을 활용한 웹 홍보물 제작),직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,평생직업교육,경기도 의정부시 의정로 165 2층,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
[하이런] AI 기초 실무 (AI 입문자 대상),직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,평생직업교육,경기도 의정부시 의정로 165 2층,www.ull.or.kr/lifeedu/index.do,30000,의정부시,의정부시
컴퓨터&스마트폰/강좌번호17,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,가능동 주민자치센터,경기도 의정부시 신촌로 35,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
문서작성&인터넷/강좌번호8,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,가능동 주민자치센터,경기도 의정부시 신촌로 35,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
AI와 함께하는 왕초보 일본어(강좌번호 26),인문교양교육 > 생활소양프로그램 > 생활일본어,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
파워포인트 / 강좌번호 3,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원2동 주민자치센터,경기도 의정부시 신흥로 115 본관 컴퓨터실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
문서작성과 인터넷(초급) / 강좌번호 2,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,신곡2동주민자치센터,경기도 의정부시 추동로23번길 7 사이버룸,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
컴퓨터 왕초보(기초) / 강좌번호 1,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,신곡2동주민자치센터,경기도 의정부시 추동로23번길 7 사이버룸,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
코딩 교실(강좌번호 25),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
스마트폰과모바일활용 / 강좌번호 7,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,신곡2동주민자치센터,경기도 의정부시 추동로23번길 7 문예창작실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
컴퓨터 기초 정규반 (목 오전),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 기초 정규반 (월, 수 오전 )",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
컴퓨터 기초 정규반 (목 오후),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 왕기초 상설반 (월, 수 오후)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 왕기초 오후반(화,금)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
"스마트폰 왕기초 오전반(화,금)",기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,디지털배움터,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,www.ull.or.kr/lifeedu/index.do,0,의정부시,의정부시
컴퓨터 기초반(강좌번호 11),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
문서 편집 및 인터넷 활용(강좌번호 10),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
스마트폰과 모바일(강좌번호 9),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
유튜브 동영상제작(강좌번호 2),기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원1동 주민자치센터,경기도 의정부시 평화로230번길 12-9 2층 정보화실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
파워포인트 / 강좌번호 3,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,호원2동 주민자치센터,경기도 의정부시 신흥로 115 본관 컴퓨터실,www.ull.or.kr/lifeedu/index.do,45000,의정부시,의정부시
[광명지식상점] AI로 완성하는 직장인 실무 디자인 클래스,진로 체험 및 취업 지원 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087085,20000,광명시,광명시
[광명지식상점] 디지털드로잉 나만의 캐릭터 이모티콘 제작부터 판매,만화/캐릭터 등 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087096,20000,광명시,광명시
[광명지식상점] 드론으로 즐기는 축구와 촬영편집,진로 체험 및 취업 지원 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087102,20000,광명시,광명시
[광명지식상점] AI로 나를 업그레이드하라: 평범한 일상을 초능력으로 바꾸는 방법,기타 직무역량 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087082,20000,광명시,광명시
[퇴근학습길] AI 크리에이터 도전 실무에 바로 쓰는 AI 활용법,[퇴근학습길] AI 크리에이터 도전 실무에 바로 쓰는 AI 활용법,부천시평생학습센터,경기도 부천시 소사구 옥길로 116 (옥길동),http://learning.bucheon.go.kr,0,부천시,소사구
기회를 커스텀하는 평생학습_AI활용,기회를 커스텀하는 평생학습_AI활용,부천시평생학습센터,경기도 부천시 원미구 송내대로 388 (약대동),http://learning.bucheon.go.kr,0,부천시,원미구
[퇴근학습길] AI 활용 영상제작(공익영상 만들기),[퇴근학습길] AI 활용 영상제작(공익영상 만들기),부천시평생학습센터,경기도 부천시 원미구 중동로254번길 104 (중동),http://learning.bucheon.go.kr,0,부천시,원미구
[학습반디_중3동]챗GPT를 활용한 나의 유튜브 콘텐츠 만들기,[학습반디_중3동]챗GPT를 활용한 나의 유튜브 콘텐츠 만들기,부천시평생학습센터,경기도 부천시 소사구 경인로92번길 33 (송내동),http://learning.bucheon.go.kr,0,부천시,소사구
[학습반디_심곡본동]상상이 현실이 되는 드론(드론지도사 2급 과정),[학습반디_심곡본동]상상이 현실이 되는 드론(드론지도사 2급 과정),부천시평생학습센터,경기도 부천시 소사구 심곡본동 성주로249번길 19 (심곡본동),http://learning.bucheon.go.kr,0,부천시,소사구
[학습반디_심곡2동]시니어를 위한 생활 속 챗GPT 활용법,[학습반디_심곡2동]시니어를 위한 생활 속 챗GPT 활용법,부천시평생학습센터,경기도 부천시 원미구 부흥로424번길 25 (심곡동),http://learning.bucheon.go.kr,0,부천시,원미구
[학습반디_중4동]AI활용한 왕초보의 스마트스토어 첫걸음,[학습반디_중4동]AI활용한 왕초보의 스마트스토어 첫걸음,부천시평생학습센터,경기도 부천시 원미구 계남로 336 (중동),http://learning.bucheon.go.kr,0,부천시,원미구
[학습반디_소사동]AI로 뚝딱 그림책 만들기(출판지도사 자격증 과정),[학습반디_소사동]AI로 뚝딱 그림책 만들기(출판지도사 자격증 과정),부천시평생학습센터,경기도 부천시 소사구 경인로92번길 33  (송내동),http://learning.bucheon.go.kr,0,부천시,소사구
[학습반디_심곡1동]3050세대를 위한 디지털드로잉 기초부터 수익화까지,[학습반디_심곡1동]3050세대를 위한 디지털드로잉 기초부터 수익화까지,부천시평생학습센터,경기도 부천시 원미구 부흥로 403 (심곡동),http://learning.bucheon.go.kr,0,부천시,원미구
[광명지식상점] 나를 담은 디지털 그림 에세이,기타 직무역량 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088764,20000,광명시,광명시
[광명지식상점] 드론으로 즐기는 드론축구 스포츠,기타 직무역량 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088771,20000,광명시,광명시
[광명지식상점] 스마트폰 하나로 AI와 협업하여 영상 콘텐츠 제작,그래픽(포토샵)/영상(프리미어)/편집 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088781,20000,광명시,광명시
[학습반디_소사본1동]AI와 함께 시작하는 슬기로운 금융생활,[학습반디_소사본1동]AI와 함께 시작하는 슬기로운 금융생활,부천시평생학습센터,경기도 부천시 소사구 소사본동 은성로68번길 56 (소사본동),http://learning.bucheon.go.kr,0,부천시,소사구
[2025 상반기 퇴근학습길] 디지털로 그리는 그림책,[2025 상반기 퇴근학습길] 디지털로 그리는 그림책,부천시평생학습센터,경기도 부천시 원미구 부천로90번길 15 (원미동),http://learning.bucheon.go.kr,0,부천시,원미구
Grammar & Vocabulary,영어독서지도 필수 이론의 이해 및 효과 높은 언어지도방법론의 영어독서지도과정 진행,수원도시공사,경기도 수원시 장안구 송원로 101,https://www.suwonudc.co.kr/jacc,54000,수원시,장안구
DSLR 사진촬영&포토샵 (B),디지털 사진의 기본이론 및 실전 활용 능력 습득,수원도시공사,경기도 수원시 장안구 송원로 101,https://www.suwonudc.co.kr/jacc,90000,수원시,장안구
코딩기초부터 3급 자격증,컴퓨터 배우기 및 자격증 취득을 위한 과정,수원도시공사,경기도 수원시 장안구 송원로 101,https://www.suwonudc.co.kr/jacc,60000,수원시,장안구
(단기)드론전문가(드론입문),취업&창업,평생학습센터,경기도 남양주시 경춘로 522,https://dasanedu.nyj.go.kr/,30000,남양주시,남양주시
"[특강] 미래를 읽는 힘, AI시대 배우고 이끄는 시민의 미래문해력",기타 시민성소양 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088860,0,광명시,광명시
1인 창업을 위한 디자인 상품 만들기(플랫폼 + AI 활용),미리캔버스 강의,경기도 안산시청 평생학습과,경기도 안산시 단원구 동산로 63,https://wm.ansan.go.kr/,0,안산시,단원구
디지털 드로잉(야간),디지털드로잉강의,경기도 안산시청 평생학습과,경기도 안산시 단원구 동산로 63,https://wm.ansan.go.kr/,40000,안산시,단원구
"AI 활용, 1인크리에이터",AI 활용 크리에이터강의,경기도 안산시청 평생학습과,경기도 안산시 단원구 동산로 63,https://wm.ansan.go.kr/,50000,안산시,단원구
디지털 드로잉(주간),디지털드로잉강의,경기도 안산시청 평생학습과,경기도 안산시 단원구 동산로 63,https://wm.ansan.go.kr/,40000,안산시,단원구
코딩&로봇교육전문가과정(자격증),자격증,평생학습센터,경기도 남양주시 경춘로 522,https://dasanedu.nyj.go.kr/,60000,남양주시,남양주시
(단기_온라인)AI와 동영상제작(기초),취업&창업,평생학습센터,경기도 남양주시 경춘로 522,https://dasanedu.nyj.go.kr/,30000,남양주시,남양주시
(장애인전용강좌)저녁의 AI교실,정보기술,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087770,0,광명시,광명시
원어민 영어 (Level 1 Basic English (Vocabulary/Survival),원어민강사와 함께 영어회화능력향상,수원도시공사,경기도 수원시 장안구 송원로 101,https://www.suwonudc.co.kr/jacc,150000,수원시,장안구
(스마트한 디지털 기초 교실)디자인 감각을 키우는 미리캔버스·AI 기초,디지털(정보화) 리터러시 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088647,0,광명시,광명시
(스마트한 디지털 기초 교실)디지털 세상으로 가는 첫 걸음,디지털(정보화) 리터러시 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088654,0,광명시,광명시
Let’s Learn About Earth,"함께 책 읽기 후 책놀이, 낭독, 북토크, 소감 공유 등 다양한 소통 활동",경기과천교육도서관,경기도 과천시 도서관길 36,lib.goe.go.kr/kwa/,0,과천시,과천시
제2차 스마트한 디지털 교실 활동가 역량강화 교육,진로수업 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00087714,0,광명시,광명시
[광명지식상점] 디지털드로잉으로 그리는 나만의 캐릭터 패턴:디자인 문구 제작부터 판매까지,기타 직무역량 관련 프로그램,경기도 광명시평생학습원,경기도 광명시 철망산로2,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00088766,20000,광명시,광명시
